Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,Year Average
2000,0.017433111670157014,0.024375987783595347,0.003648748402094255,0.557789010776615,14.260907504363002,9.540095986038395,36.02268760907504,30.969851657940662,0.1508117146581154
2001,0.017600288211093048,0.025387990792884577,0.003133263539912401,0.5091186059712199,12.83690891213015,8.79239295610977,37.64119066773934,31.310673102708503,0.13881003712877749
2002,0.016386522494015426,0.02681805082499792,0.002743943177224907,0.5009904085663035,11.030905360348807,8.486406770966914,39.559160468496195,29.363725741643158,0.13673473126563543
2003,0.015864670996992083,0.025521447827495186,0.0028648005373189396,0.4927196172319726,11.32835130257739,8.246633658784878,36.63111378464671,28.3345981213271,0.1342426341484447
2004,0.014967956135547723,0.02491413783376297,0.0028549576784202982,0.4481317096931081,11.249550119157629,7.411069500510676,34.74120908516123,26.94032391420651,0.12271719033520978
2005,0.015010554998733517,0.02574287597917356,0.00291445454392797,0.41739653815845174,11.18640649186172,6.8916459496224025,37.01791828885032,27.418406116609596,0.1152661059200717
2006,0.014531482088396247,0.025938431432423734,0.002606826689443212,0.41524677962404705,10.00721763959391,6.965775697969543,36.20110247461929,26.995399746192895,0.11458087995857756
2007,0.01328669561263823,0.02637996772851734,0.0023541778160767845,0.37500259184027657,9.058892855904885,6.029741065548199,36.42479808658879,24.969219037055012,0.10425585824937723
2008,0.012239461800448166,0.026091596715389458,0.0019055347665652008,0.3300722144027884,7.3101314513161855,5.320299695621634,35.421012141686454,23.49162123289962,0.0925772019212978
2009,0.011485926748993446,0.025252494229072928,0.0015587881834042672,0.32414639100426307,5.444802331377737,5.169600061352046,32.95548142183366,21.7305111392308,0.09061090004143343
2010,0.011368509085323142,0.026693070557926614,0.0013023121043180663,0.3272620323374476,4.305225516207175,5.13807820971277,34.86230630214942,21.911869881185833,0.09165648102125386
2011,0.011203376967692951,0.026762716695033422,0.0012281107468667743,0.311064227417621,4.213956367012224,4.824477796688845,34.810242921244004,21.220052607148382,0.08756460795680354
2012,0.010579124582215674,0.027289152579377297,0.0009645023317322737,0.30065543144533796,3.3398727465535525,4.604485060195871,35.62497660782235,20.400505271037364,0.0848720527346658
2013,0.010471034517795587,0.026562621836007203,0.0008607781595365383,0.2773564218360247,2.964111705288176,4.284551396316102,35.90938799762329,19.86901366607249,0.07881271408734102
2014,0.010019062427312935,0.026305959449608344,0.0008738476979831126,0.27555853411094106,3.0367839134924974,4.2424518559018285,36.879351193730635,19.446752931170646,0.07818935092146136
2015,0.00945183794641038,0.026499277238711365,0.0007512044192668676,0.28135088540081604,2.537576103500761,4.32210806697108,37.236713597158804,18.410166159309995,0.07951330125130117
2016,0.010084792043873895,0.026434793305167344,0.0006837212580435495,0.2880370414364675,2.186870328241794,4.446213844653884,33.73724406889828,20.074423139421516,0.08131008701088807
